COMARCA,ID_MUN,MUNICIPI,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S
Alt Empordà,17249,Biure,ORDI,2022,,11.2517,,54.04928886477511,,4.771642466070006
Alt Empordà,17249,Biure,ORDI,2023,0.449499850743,26.432693483482,2.077901749194341,42.49347952612778,4.622697306260896,1.7153746822479918
Alt Empordà,17249,Biure,ORDI,2024,0.2890999999999999,24.3965,2.1418688578944423,131.98121395352672,7.821705927927418,5.0426556845266814
Alt Empordà,17249,Biure,ORDI,2025,,0.834039330398695,,4.715659882774096,,5.677505696369185
Alt Empordà,17249,Biure,ORDI,2026,,12.182072438509044,,77.0804162552849,,6.327364793171328
Alt Penedès,8013,Avinyonet del Penedès,AMETLLER,2025,,1.418457430332949,,0.6364310602055675,,0.501980374978551
Alt Penedès,8013,Avinyonet del Penedès,AMETLLER,2026,,1.418457430332949,,0.0501248385556473,,0.0976372039787435
Alt Penedès,8013,Avinyonet del Penedès,BLAT,2023,,0.808303998524,,0.0,,0.0
Alt Penedès,8013,Avinyonet del Penedès,ORDI,2023,,6.4173448669532,,0.135715596753323,,0.0642375584370377
Alt Penedès,8013,Avinyonet del Penedès,ORDI,2024,,9.9062,,29.45777455583945,,2.8645433073621134
Alt Penedès,8013,Avinyonet del Penedès,ORDI,2025,,14.946244037000838,,29.116568634109058,,2.063658673463588
Alt Penedès,8013,Avinyonet del Penedès,ORDI,2026,,11.48998157432658,,39.7554104497703,,3.4600064580260512
Alt Penedès,8027,les Cabanyes,AMETLLER,2025,,0.109568041222104,,0.0321636159809355,,0.2935492468623868
Alt Penedès,8027,les Cabanyes,AMETLLER,2026,,0.109568041222104,,-0.0040858184223078,,-0.0372902388026223
Alt Penedès,8027,les Cabanyes,ORDI,2023,,5.719364755803,,0.0,,0.0
Alt Penedès,8057,Castellet i la Gornal,AMETLLER,2025,,0.355861542894627,,0.0902703846069783,,0.2515351855047052
Alt Penedès,8057,Castellet i la Gornal,AMETLLER,2026,,0.355861542894627,,0.0035396884710873,,0.0137087157934136
Alt Penedès,8057,Castellet i la Gornal,BLAT,2023,,9.1981819379097,,0.0,,0.0
Alt Penedès,8057,Castellet i la Gornal,BLAT,2024,,3.7345,,7.027924084994578,,1.9457002188257024
Alt Penedès,8057,Castellet i la Gornal,ORDI,2023,,22.023334338467,,6.801240629548137,,0.2982414184369506
Alt Penedès,8057,Castellet i la Gornal,ORDI,2024,,26.0837,,82.54547112530054,,2.8135646839233064
Alt Penedès,8057,Castellet i la Gornal,ORDI,2025,,55.24346712736282,,156.69801730782046,,2.583561843621716
Alt Penedès,8057,Castellet i la Gornal,ORDI,2026,,36.89114575145136,,141.86320198152126,,3.845453945434593
Alt Penedès,8064,Castellví de la Marca,AMETLLER,2025,1.324799374428514,2.849562460971375,1.4934869939474835,1.065989381711801,1.127330690801192,0.3804923807096421
Alt Penedès,8064,Castellví de la Marca,AMETLLER,2026,1.324799374428514,2.849562460971375,1.114924267325153,0.314046044177779,0.8415797054600089,0.1458415555468993
