COMARCA,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,HA_DARPA_R,HA_DARPA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S,PROD_DARPA(t)_R,PROD_DARPA(t)_S,PROD_DARPA(t/ha)_R,PROD_DARPA(t/ha)_S
Berguedà,BLAT,2025,1.4172594327401349,2505.3432302867527,1.42,2512.61,14.11787581947374,17465.737525645327,9.845608258922056,6.680096567037895,7.24,12220.83,5.098591549295775,4.86379899785482
Berguedà,BLAT,2026,1.4172594327401349,2434.430081283504,,,9.427992085412468,13144.987309614073,6.652269773350071,5.399615873413644,,,,
Berguedà,BLAT DE MORO,2023,0.0687648457497,2.2711041453833,,,0.4850579607369359,14.821568259353052,6.620551761514872,6.254956538434642,,,,
Berguedà,BLAT DE MORO,2024,0.0419,4.2018,,,0.353860577907489,32.09564937867507,8.445359854594019,6.988952295376543,,,,
Berguedà,BLAT DE MORO,2025,,1.55755689905357,0.04,,,10.908395869516967,,6.55738668240804,0.56,,14.000000000000002,
Berguedà,BLAT DE MORO,2026,,3.0210565047537377,,,,16.783682998288437,,5.555567389050395,,,,
Berguedà,ORDI,2023,5.6949287853011,3626.124507925933,5.0,2698.0,30.103986399999616,12308.162997550757,5.483745533161829,3.4483401224902543,24.0,4802.44,4.8,1.7799999999999998
Berguedà,ORDI,2024,2.9656,3310.7276,3.0,3310.0,20.88749400243204,15970.95642305801,6.720963839342997,4.915845507050254,12.9,13445.35,4.3,4.062039274924471
Berguedà,ORDI,2025,10.067777854109796,3769.437873195984,9.93,3892.65,91.03387016731418,22541.405367786705,8.761118374694938,5.88595372691318,46.67,16446.45,4.699899295065459,4.225000963354013
Berguedà,ORDI,2026,4.297443643653751,3673.897364970276,,,31.35341012684294,18324.27262476009,7.295828107750542,4.987693123786638,,,,
Cerdanya,BLAT,2023,120.7787937837579,282.4612214377504,114.0,214.0,565.8762847197075,967.8602485457042,4.78566051087846,3.4218188671027137,114.0,214.0,1.0,1.0
Cerdanya,BLAT,2024,156.0859,279.5009,39.0,137.0,886.8163218139326,1224.8211013249484,5.664041366299292,4.457588326149903,136.5,342.5,3.5,2.5
Cerdanya,BLAT,2025,177.69037175421346,283.0343756814031,57.63,133.22,1113.3646568864142,1534.243587132341,6.075382405033288,5.5134402635275634,148.67999999999998,228.71,2.5799062988027064,1.7167842666266326
Cerdanya,BLAT,2026,214.5525165157781,377.0547153200957,,,1501.698419574723,2100.006152468355,6.99921140036728,5.569499775876248,,,,
Cerdanya,BLAT DE MORO,2023,8.26840657615,16.1638282444642,,,66.9094199915831,99.72499734336267,7.63225410269072,6.405360783835587,,,,
Cerdanya,BLAT DE MORO,2024,19.581,2.3753,,,149.5065587785791,16.990991429106366,7.422773176197474,7.036201046619198,,,,
Cerdanya,BLAT DE MORO,2025,36.15360808334472,13.717929005410785,,,287.78768316581375,97.4579605631912,7.766151206616416,7.400342117284531,,,,
Cerdanya,BLAT DE MORO,2026,31.82368753016464,7.15588985759649,,,250.3128659892241,56.34072684085661,7.8656147485096,7.873336225409742,,,,
Cerdanya,ORDI,2023,52.6022256579037,152.9686416851229,41.0,119.0,188.6583767426391,188.28472132547984,3.754048773116736,1.381517274998603,45.1,130.9,1.1,1.1
Cerdanya,ORDI,2024,49.9349,93.7414,8.0,60.0,252.98956494732948,247.39221760266088,5.141844688576691,2.623607668389291,28.0,150.0,3.5,2.5
Cerdanya,ORDI,2025,43.86245362497744,99.61363402243408,2.95,59.400000000000006,214.9764832911493,312.423218116856,4.90858520884218,2.891454716403405,7.89,111.97,2.6745762711864405,1.8850168350168348
Cerdanya,ORDI,2026,53.00214553437814,126.32111373657172,,,274.8201564228399,340.6261198394527,5.185076069129817,2.6965097897235903,,,,
Conca de Barberà,BLAT,2023,9.7001648498086,6227.540889027389,7.0,5089.0,25.897019988486157,11899.472550993374,2.604182505592903,1.7971865214727074,20.923,7175.49,2.989,1.41
Conca de Barberà,BLAT,2024,7.9633,6270.6317,6.0,6084.0,38.0950585565656,15297.161116542851,4.77969435407828,2.30470344271328,18.0,7909.2,3.0,1.3
Conca de Barberà,BLAT,2025,4.600089285006874,5868.418969369739,,5724.7,28.90081467415518,30804.799728324968,6.567006273366871,5.166818532189441,,27441.97,,4.793608398693381
Conca de Barberà,BLAT,2026,6.204099691522355,5727.699739397765,,,41.82414297756268,29640.42048277658,6.741371843962089,5.174925682450858,,,,
Conca de Barberà,BLAT DE MORO,2023,,0.74195789946,,1.0,,4.855232076022737,,6.543810746615671,,3.5,,3.5
